oloop,timeout_us,work_type,fire_iter_type,fire_iter,dvfs,joules,time,instructions,ref_cycles,llc_miss,sleep_cnt_0,sleep_cnt_1
1000,128,sum1,time_limit_sec,3,0x1900,52.8313,3.00004,226342876,645494499,5622,5999,23445
1000,128,sum1,time_limit_sec,3,0x1900,52.8291,3.00009,226342876,645602727,5613,5999,23445
1000,128,sum1,time_limit_sec,3,0x1900,52.8319,3,226342876,645151400,5610,5999,23445
1000,256,sum1,time_limit_sec,3,0x1900,52.7747,3.00004,116319086,381679875,5701,5999,11710
1000,256,sum1,time_limit_sec,3,0x1900,52.7388,3.00025,116335239,381629676,5694,5999,11700
1000,256,sum1,time_limit_sec,3,0x1900,52.7226,3.0002,116333146,381409885,5701,5997,11700
10000,2,sum1,time_limit_sec,3,0x1900,85.28,3.00003,9504417031,8700072471,98,5999,2
10000,2,sum1,time_limit_sec,3,0x1900,85.2415,3.00002,8941965041,8700064409,99,5996,2
10000,2,sum1,time_limit_sec,3,0x1900,85.1479,3.00002,9388796371,8700045240,96,5997,2
10000,4,sum1,time_limit_sec,3,0x1900,85.2035,3.00001,9606467191,8700009338,98,5997,2
10000,4,sum1,time_limit_sec,3,0x1900,85.1581,3.00002,9388796371,8700049300,96,5997,2
10000,4,sum1,time_limit_sec,3,0x1900,85.2917,3.00001,8941874571,8700008265,96,5997,2
10000,8,sum1,time_limit_sec,3,0x1900,85.3101,3.00001,8941874571,8700008410,98,5997,2
10000,8,sum1,time_limit_sec,3,0x1900,85.3837,3.00003,9406709431,8700061422,98,5997,2
10000,8,sum1,time_limit_sec,3,0x1900,85.1647,3.00002,9361836311,8700031842,96,5997,2
10000,16,sum1,time_limit_sec,3,0x1900,85.3162,3.00002,9637769811,8699960560,98,5997,2
10000,16,sum1,time_limit_sec,3,0x1900,85.3031,3.00002,9497360371,8699950149,98,5997,2
10000,16,sum1,time_limit_sec,3,0x1900,85.2678,3.00002,9623475551,8700018821,95,5997,2
10000,32,sum1,time_limit_sec,3,0x1900,84.8376,3,8385134751,8517289937,8469993,5997,92496
10000,32,sum1,time_limit_sec,3,0x1900,84.8102,3.00003,8384862601,8517411273,8469655,5997,92492
10000,32,sum1,time_limit_sec,3,0x1900,84.8028,3.00002,8384862786,8517385695,8469790,5997,92493
10000,64,sum1,time_limit_sec,3,0x1900,78.0501,3.00003,4133570556,6015724794,3381346,5967,37382
10000,64,sum1,time_limit_sec,3,0x1900,77.9969,3.00003,4131446813,6006380530,3419229,5964,37826
10000,64,sum1,time_limit_sec,3,0x1900,77.9447,3.00004,4132940193,6016172989,3387946,5965,37457
10000,128,sum1,time_limit_sec,3,0x1900,71.4937,3.00009,2114075311,3376154074,5653,5956,23322
10000,128,sum1,time_limit_sec,3,0x1900,71.5308,3.00008,2114165966,3376968104,5670,5967,23323
10000,128,sum1,time_limit_sec,3,0x1900,71.5687,3.00006,2113984656,3375165464,5715,5970,23321
10000,256,sum1,time_limit_sec,3,0x1900,66.2063,3.00014,1063331642,1706710987,5658,5987,11714
10000,256,sum1,time_limit_sec,3,0x1900,66.2157,3.0002,1063324236,1706937216,5673,5984,11714
10000,256,sum1,time_limit_sec,3,0x1900,66.2073,3.00003,1063232615,1706118140,5680,5986,11713
100000,2,sum1,time_limit_sec,3,0x1900,85.0989,3.00008,9268538421,8700240700,96,5999,2
100000,2,sum1,time_limit_sec,3,0x1900,85.3558,3.00013,8679631041,8700367430,95,5997,2
100000,2,sum1,time_limit_sec,3,0x1900,85.385,3.00013,8679631041,8700383206,98,5997,2
100000,4,sum1,time_limit_sec,3,0x1900,85.3808,3.00002,9423419261,8700063336,96,5997,2
100000,4,sum1,time_limit_sec,3,0x1900,85.3476,3.0002,9636830651,8700575215,97,5997,2
100000,4,sum1,time_limit_sec,3,0x1900,85.3599,3.00009,8679631041,8700254185,98,5997,2
100000,8,sum1,time_limit_sec,3,0x1900,85.2064,3.00008,9587304801,8700203870,97,5997,2
100000,8,sum1,time_limit_sec,3,0x1900,85.1378,3.00019,9272140301,8700522957,99,5997,2
100000,8,sum1,time_limit_sec,3,0x1900,85.2293,3.00008,9587304801,8700203638,96,5997,2
100000,16,sum1,time_limit_sec,3,0x1900,85.1591,3.00019,9272140301,8700522754,96,5997,2
100000,16,sum1,time_limit_sec,3,0x1900,85.3204,3.00011,8904748541,8700282750,95,5997,2
100000,16,sum1,time_limit_sec,3,0x1900,85.3241,3.00003,9635930181,8700044167,96,5997,2
100000,32,sum1,time_limit_sec,3,0x1900,85.253,3.00004,9323467091,8700008903,96,5997,2
100000,32,sum1,time_limit_sec,3,0x1900,85.2999,3.00003,9353182601,8699987037,98,5997,2
100000,32,sum1,time_limit_sec,3,0x1900,85.4326,3.00004,9387400461,8699989299,98,5997,2
100000,64,sum1,time_limit_sec,3,0x1900,85.2208,3.00012,9323467091,8700150684,145,5995,2
100000,64,sum1,time_limit_sec,3,0x1900,85.1439,3.00028,9431523491,8700630402,147,5995,2
100000,64,sum1,time_limit_sec,3,0x1900,85.1146,3.0003,9377495291,8700674395,147,5995,2
100000,128,sum1,time_limit_sec,3,0x1900,85.2255,3.00015,9323467091,8700064438,147,5995,2
100000,128,sum1,time_limit_sec,3,0x1900,85.3305,3.0001,9628726421,8699921584,147,5995,2
100000,128,sum1,time_limit_sec,3,0x1900,85.2382,3.00014,9323467091,8700038164,147,5995,2
100000,256,sum1,time_limit_sec,3,0x1900,85.0918,3.00002,9375694351,8699312207,147,5997,2
100000,256,sum1,time_limit_sec,3,0x1900,85.4451,3.00003,9386499991,8699342425,145,5997,2
100000,256,sum1,time_limit_sec,3,0x1900,85.2573,3.00003,9329770381,8699347007,147,5997,2
1000000,2,sum1,time_limit_sec,3,0x1900,85.3489,3.0022,9639504081,8706385336,99,5995,2
1000000,2,sum1,time_limit_sec,3,0x1900,85.4138,3.00167,9630503611,8704837084,98,5995,2
1000000,2,sum1,time_limit_sec,3,0x1900,85.0452,3.00064,9387490921,8701837614,97,5995,2
1000000,4,sum1,time_limit_sec,3,0x1900,85.3442,3.0014,8910466011,8704065887,98,5997,2
1000000,4,sum1,time_limit_sec,3,0x1900,85.1813,3.00112,9270484811,8703236313,96,5997,2
1000000,4,sum1,time_limit_sec,3,0x1900,85.2408,3.00165,9216481991,8704784217,98,5997,2
1000000,8,sum1,time_limit_sec,3,0x1900,85.3222,3.00117,9621503141,8703360259,98,5997,2
1000000,8,sum1,time_limit_sec,3,0x1900,85.1957,3.00112,9270484811,8703236400,98,5997,2
1000000,8,sum1,time_limit_sec,3,0x1900,85.3719,3.00236,8910466011,8706833125,98,5997,2
1000000,16,sum1,time_limit_sec,3,0x1900,85.3381,3.00259,9513497501,8707412023,95,5997,2
1000000,16,sum1,time_limit_sec,3,0x1900,85.4208,3.00149,9639504081,8704273411,96,5997,2
1000000,16,sum1,time_limit_sec,3,0x1900,85.1919,3.00045,9360489511,8701250509,96,5997,2
1000000,32,sum1,time_limit_sec,3,0x1900,85.4029,3.00213,9630503611,8706053808,98,5997,2
1000000,32,sum1,time_limit_sec,3,0x1900,85.148,3.0025,9081474941,8707125793,96,5997,2
1000000,32,sum1,time_limit_sec,3,0x1900,85.3555,3.0016,9630503611,8704519215,96,5997,2
1000000,64,sum1,time_limit_sec,3,0x1900,85.4726,3.00094,9378490451,8702549999,147,5997,2
1000000,64,sum1,time_limit_sec,3,0x1900,85.4101,3.00216,9630503611,8706068163,147,5997,2
1000000,64,sum1,time_limit_sec,3,0x1900,85.1104,3.00099,9369489981,8702689054,145,5997,2
1000000,128,sum1,time_limit_sec,3,0x1900,85.2226,3.00063,9297486221,8701453596,147,5997,2
1000000,128,sum1,time_limit_sec,3,0x1900,85.5007,3.00266,9378490451,8707340219,147,5997,2
1000000,128,sum1,time_limit_sec,3,0x1900,85.3591,3.00195,9630503611,8705291514,145,5997,2
1000000,256,sum1,time_limit_sec,3,0x1900,85.1615,3.00303,9378490451,8708040337,147,5997,2
1000000,256,sum1,time_limit_sec,3,0x1900,85.2399,3.00009,9297486221,8699532375,147,5997,2
1000000,256,sum1,time_limit_sec,3,0x1900,85.3941,3.00215,9630503611,8705489120,147,5997,2
1,2,sum1,time_limit_sec,3,0x1500,73.2749,3,504948659,8689756562,69509526,5995,760439
1,2,sum1,time_limit_sec,3,0x1500,73.3159,3,504977610,8690753640,69554576,5995,760488
1,2,sum1,time_limit_sec,3,0x1500,73.3216,3,505174794,8690594430,69493102,5996,760792
1,4,sum1,time_limit_sec,3,0x1500,72.6599,3,426164971,8108468904,58702870,5997,641587
1,4,sum1,time_limit_sec,3,0x1500,72.623,3,426023478,8107253108,58682400,5997,641362
1,4,sum1,time_limit_sec,3,0x1500,72.6332,3,426400735,8110362053,58736501,5997,641953
1,8,sum1,time_limit_sec,3,0x1500,67.8823,3,188068167,4840630323,25638585,5960,280131
1,8,sum1,time_limit_sec,3,0x1500,67.8942,3.00001,187976961,4839145581,25632317,5967,280066
1,8,sum1,time_limit_sec,3,0x1500,67.8724,3,188091595,4842064402,25646762,5966,280221
1,16,sum1,time_limit_sec,3,0x1500,55.5532,3.00001,111160951,3520904094,15323054,5992,167412
1,16,sum1,time_limit_sec,3,0x1500,55.7546,3.00001,111204775,3524154211,15329224,5991,167478
1,16,sum1,time_limit_sec,3,0x1500,55.754,3.00002,111190831,3522616457,15327231,5990,167457
1,32,sum1,time_limit_sec,3,0x1500,53.2601,3.00001,59432695,1917578426,8193888,5997,89508
1,32,sum1,time_limit_sec,3,0x1500,53.2519,3.00003,59435351,1917178313,8194262,5997,89512
1,32,sum1,time_limit_sec,3,0x1500,53.2515,3.00001,59434687,1917034705,8194102,5997,89511
1,64,sum1,time_limit_sec,3,0x1500,52.7119,3.00006,30807655,481671498,5873,5997,46398
1,64,sum1,time_limit_sec,3,0x1500,52.7367,3.00002,30806327,482108064,5869,5997,46396
1,64,sum1,time_limit_sec,3,0x1500,52.7177,3.00005,30806991,481639627,5845,5997,46397
1,128,sum1,time_limit_sec,3,0x1500,52.6465,3,15560223,243686014,5633,5999,23435
1,128,sum1,time_limit_sec,3,0x1500,52.6445,3.00001,15560223,243760370,5635,5999,23435
1,128,sum1,time_limit_sec,3,0x1500,52.6607,3.00012,15560887,243618966,5636,5999,23436
1,256,sum1,time_limit_sec,3,0x1500,52.6295,3.00017,9675711,156728267,5606,5999,11732
1,256,sum1,time_limit_sec,3,0x1500,52.6321,3.0002,9675711,156836437,5597,5999,11732
1,256,sum1,time_limit_sec,3,0x1500,52.63,3.00021,9675711,156864770,5607,5999,11732
1000,2,sum1,time_limit_sec,3,0x1500,74.7339,3,8179239711,8700004060,98,5999,2
1000,2,sum1,time_limit_sec,3,0x1500,74.4898,3,8124256891,8699999913,95,5997,2
