sys i msg_size itr dvfs rapl time tput pk1j rx_bytes tx_bytes instructions cycles ref_cycles llc_miss c1 c1e c3 c6 c7 num_interrupts
linux_tuned 1 64 6 0xf00 135 0.194 25.23 3.8 649090 649870 106178850 179378601 346865143 129841 9010237691 1047827280 7400382 0 1583024424 9992
linux_tuned 2 64 6 0xf00 135 0.192 25.41 3.78 649876 649870 105236588 178273876 344679645 128597 17656912931 2055197604 14108568 0 3055608096 10000
linux_tuned 0 64 8 0xf00 135 0.193 25.34 3.79 649350 650794 106313825 179378905 346684038 129469 136807581 6114065 178155 0 23293720 10009
linux_tuned 1 64 8 0xf00 135 0.193 25.3 3.81 651064 649870 107163745 180642770 349220378 130335 9092394312 1053508258 7456438 0 1591868168 9999
linux_tuned 2 64 8 0xf00 135 0.194 25.22 3.8 648310 649870 107252052 181235511 350440988 132013 18173258520 2111392092 14509464 0 3139445088 9986
linux_tuned 0 64 10 0xf00 135 0.193 25.28 3.8 648180 649870 105953572 179177174 346492899 130399 170201215 6149214 193140 0 23626165 9985
linux_tuned 1 64 10 0xf00 135 0.194 25.2 3.84 651526 650728 103055988 173901658 335884380 125888 8882124828 1025378718 7271264 0 1549626806 10011
linux_tuned 2 64 10 0xf00 135 0.196 24.87 3.87 647660 649870 106903056 181094035 350219370 131286 18400873005 2133896270 14680540 0 3173185440 9981
linux_tuned 0 64 12 0xf00 135 0.193 25.24 3.8 649806 649936 107928057 182019624 351921873 130887 209116726 6354740 215080 0 24599300 9999
linux_tuned 1 64 12 0xf00 135 0.193 25.33 3.83 650268 649936 104477360 176940217 342101400 127555 8963993105 1031053659 7326771 0 1558479789 10003
linux_tuned 2 64 12 0xf00 135 0.194 25.22 3.81 648310 649870 106792385 180212561 348261986 130786 18144104380 2100246181 14465198 0 3123418738 9986
linux_tuned 0 64 14 0xf00 135 0.193 25.24 3.82 647530 649870 107528394 181614243 351244781 131822 240972837 6332968 227668 0 24675752 9980
linux_tuned 1 64 14 0xf00 135 0.195 25.09 3.85 648830 649870 103269764 174985516 338115147 126232 8997116727 1031094285 7342692 0 1558815411 9990
linux_tuned 2 64 14 0xf00 135 0.195 25.01 3.85 649482 649870 107359452 181495714 350873407 131377 18469570397 2133979300 14713220 0 3173865640 9996
linux_tuned 0 64 16 0xf00 135 0.194 25.16 3.82 648440 649870 106995075 179332855 346762715 130083 274921001 6368500 241768 0 25006444 9987
linux_tuned 1 64 16 0xf00 135 0.193 25.33 3.8 649352 649870 105484711 177574893 343347153 129185 9079522986 1036773024 7400112 0 1567663256 9994
linux_tuned 2 64 16 0xf00 135 0.195 25.07 3.84 648050 649870 107506822 181359323 350597443 132193 18503849254 2134019580 14730700 0 3174203270 9984
linux_tuned 0 64 18 0xf00 135 0.194 25.16 3.82 649220 649870 103066133 173858089 336145786 126170 298993159 6201286 248976 0 24548706 9993
linux_tuned 1 64 18 0xf00 135 0.193 25.25 3.8 650664 650002 108579348 183401791 354595064 131750 9459449577 1076255204 7697682 0 1627639734 10001
linux_tuned 2 64 18 0xf00 135 0.193 25.35 3.83 650730 650002 103334630 174669622 337649030 125638 17660025804 2032971547 14047229 0 3024187639 10001
linux_tuned 0 64 20 0xf00 135 0.206 23.69 4.05 649610 649870 105850379 179796536 347553632 129204 361138325 6786054 285318 0 27076500 9997
linux_tuned 1 64 20 0xf00 135 0.207 23.64 4.08 648830 649870 106637024 180409572 348712936 129642 9941390978 1127009600 8075600 0 1704682800 9991
linux_tuned 2 64 20 0xf00 135 0.207 23.57 4.06 648180 649740 104193651 176035172 340390139 128135 19159051959 2201490620 15227632 0 3275173328 9985
linux_tuned 0 64 22 0xf00 135 0.226 21.58 4.45 649350 649870 105710820 178800144 345731823 128241 431115308 7417715 329810 0 29799645 9994
linux_tuned 1 64 22 0xf00 135 0.226 21.58 4.45 650998 649870 106099678 180267145 348534963 126951 10775881724 1217215512 8740656 0 1841452704 9997
linux_tuned 2 64 22 0xf00 135 0.226 21.6 4.45 649612 649870 106500707 180080432 348119364 129755 21251166482 2437414308 16876741 0 3626489895 9997
linux_tuned 0 64 24 0xf00 135 0.247 19.76 4.87 648180 649870 106261761 180342749 348561411 129651 520468823 8266692 385084 0 33414962 9985
linux_tuned 1 64 24 0xf00 135 0.247 19.76 4.87 647530 649870 104606941 177458231 342970559 127240 11716385945 1318694832 9490104 0 1995332508 9980
linux_tuned 2 64 24 0xf00 135 0.247 19.79 4.83 648310 649870 104297208 177271566 342742764 127457 22860403092 2617184616 18139050 0 3894311439 9986
linux_tuned 0 64 26 0xf00 135 0.267 18.31 5.21 649350 649870 106869251 180374602 348696841 129287 606453174 8947968 433664 0 36396544 9994
linux_tuned 1 64 26 0xf00 135 0.267 18.32 5.2 651064 649870 106076315 178633006 345375297 128108 12764036420 1431464752 10322814 0 2166336028 9995
linux_tuned 2 64 26 0xf00 135 0.267 18.3 5.24 649220 649870 106407051 180217621 348349508 128568 25065340589 2864359155 19873170 0 4262492280 9993
linux_tuned 0 64 28 0xf00 135 0.288 16.96 5.6 650334 650002 107024487 181726245 351313018 129914 710358564 10792836 491319 0 40167630 10001
linux_tuned 1 64 28 0xf00 135 0.288 16.94 5.6 648310 649870 105760140 178823237 345826740 128891 13918526519 1556532912 11235960 0 2354458572 9986
linux_tuned 2 64 28 0xf00 135 0.288 16.93 5.6 648310 649870 105360087 179031850 346230101 128015 27080001906 3090041350 21454400 0 4597320475 9986
linux_tuned 0 64 30 0xf00 135 0.307 15.88 5.98 649806 649936 106891963 181387479 350722520 128805 798238192 15441885 543685 0 43028110 9996
linux_tuned 1 64 30 0xf00 135 0.307 15.88 5.96 650072 649870 107386629 182102134 352035234 129766 14974654417 1673867864 12069992 0 2525607568 9997
linux_tuned 2 64 30 0xf00 135 0.308 15.83 6.0 648050 649870 106610076 184086515 355998084 129983 29096200517 3318887469 23040090 0 4932201760 9982
linux_tuned 0 64 32 0xf00 135 0.328 14.87 6.36 648050 649870 108740417 185353111 359339000 132230 908905679 27227461 609928 0 47115343 9980
linux_tuned 1 64 32 0xf00 135 0.328 14.9 6.34 649876 649870 107749759 183030720 354919951 129900 16031754151 1797390628 12911444 0 2696827424 9986
linux_tuned 2 64 32 0xf00 135 0.328 14.87 6.37 648440 649870 106322015 180553717 350337197 129582 30817591275 3520482157 24389976 0 5216989752 9975
linux_tuned 0 64 34 0xf00 135 0.341 14.33 6.59 650466 650002 105814893 183547156 370341571 128648 970917077 43312975 649392 0 48726894 9774
linux_tuned 1 64 34 0xf00 135 0.342 14.27 6.59 648310 649870 105024924 181699789 367640714 128038 16479412427 1858387100 13264884 0 2765707416 9774
linux_tuned 2 64 34 0xf00 135 0.34 14.36 6.56 650202 650002 106014962 182597115 369735558 128398 32242495912 3693916794 25510152 0 5451670290 9748
linux_tuned 0 64 36 0xf00 135 0.357 13.69 6.85 648310 649870 106363905 187272414 389726041 130185 1043586744 68748357 698308 0 51117092 9639
linux_tuned 1 64 36 0xf00 135 0.356 13.73 6.82 648960 650002 106752352 186851383 388873557 130187 17228328998 1962638805 13866112 0 2885866308 9613
linux_tuned 2 64 36 0xf00 135 0.354 13.8 6.81 650202 650068 104894940 183724353 382185374 127770 32773052585 3774020421 25928554 0 5535857826 9588
linux_tuned 0 64 38 0xf00 135 0.382 12.77 7.31 649026 649870 106237927 187640140 395977020 128196 1158460348 108671988 778180 0 55862520 9808
linux_tuned 1 64 38 0xf00 135 0.385 12.69 7.35 648180 649870 105375304 186517655 393312587 127868 18585004060 2147878265 14957852 0 3108537068 9860
linux_tuned 2 64 38 0xf00 135 0.383 12.73 7.34 647530 649870 106758452 189149628 398917011 128904 36468170783 4230641959 28856352 0 6155367824 9825
linux_tuned 0 64 40 0xf00 135 0.408 11.98 7.75 649352 649870 108073178 192134691 413495050 129714 1258622429 162645970 859301 0 60249098 9934
